nome,cpf,data_nascimento,email,logradouro,numero,complemento,bairro,cidade,estado,cep
Stephany Melo,628.719.504-58,1977-05-18,zalves@uol.com.br,Esplanada Pereira,60,,Dom Silverio,Silva,AC,17332-317
Rebeca Lima,675.293.408-83,1983-08-13,natalia79@yahoo.com.br,Vale de Melo,83,,Alto Vera Cruz,Caldeira do Campo,MA,82921534
Luna Barros,029.647.185-20,1999-10-17,luiz-henrique37@nascimento.com,Parque Ian Ferreira,1,,Leticia,Moraes,MT,4679078
Sra. Julia Novaes,437.160.958-93,1981-04-03,marcela20@yahoo.com.br,Feira Amanda Freitas,14,,Braúnas,Freitas de Farias,RN,72035452
Noah Ferreira,980.436.127-22,1951-04-11,gustavo-henriquemelo@pereira.br,Feira de Castro,511,,Marieta 3ª Seção,Dias,RS,37240464
Bernardo da Cruz,581.623.974-00,1957-12-24,eduardo63@porto.com,Jardim de Cardoso,75,,Monte São José,Lima do Campo,SE,6632470
Isabella Teixeira,938.014.527-60,2003-10-13,rcavalcanti@fernandes.br,Vila Lavínia Freitas,69,,Parque São Pedro,Azevedo de Minas,PB,66758347
Maria da Mota,864.079.352-29,1930-12-15,rafaela80@uol.com.br,Viaduto Vitor Hugo Gonçalves,19,,Marieta 2ª Seção,Ferreira,AC,82084-191
Dra. Ana Vieira,539.170.264-06,1989-01-27,da-costanicolas@hotmail.com,Fazenda de Ferreira,31,,Alta Tensão 2ª Seção,Costa,TO,87832-411
Eduarda Costela,817.352.094-14,1959-02-13,nascimentogabriel@gmail.com,Travessa de Monteiro,12,,Sion,Correia do Campo,PE,33603-437
Alícia Dias,268.034.517-71,2005-11-02,ipereira@bol.com.br,Aeroporto Luiz Miguel Campos,56,,Cruzeiro,Ribeiro do Amparo,SE,91915-650
Luiz Miguel Nogueira,498.706.521-58,1976-07-27,valmeida@yahoo.com.br,Viela Miguel Farias,957,,Vila Suzana Segunda Seção,da Costa,TO,02935-110
Emanuel Ferreira,294.756.103-16,1984-07-28,maria-alice54@farias.com,Viaduto de Cardoso,39,,Dom Bosco,Melo do Amparo,SC,83113313
Leonardo Cardoso,817.536.902-77,1984-02-09,pietra84@gmail.com,Morro de Cunha,3,,Conjunto Floramar,Alves da Serra,RR,21159097
Ana Sophia Azevedo,315.764.802-08,1989-03-23,portolaura@yahoo.com.br,Condomínio Emanuella Aragão,5,,Copacabana,Santos,SP,75356683
Dr. Leonardo Carvalho,618.290.374-04,1969-07-19,esther68@da.com,Viela João Felipe Cavalcanti,59,,Vila Boa Vista,Porto de Vieira,AL,67152-158
Alícia Ferreira,456.798.032-83,1978-12-08,vda-conceicao@gmail.com,Condomínio Cardoso,93,,Apolonia,Monteiro da Praia,SP,51472136
Juliana Peixoto,835.619.247-19,1993-03-31,opires@goncalves.com,Setor Juliana Monteiro,83,,Nova Cintra,Moura,TO,45868-298
Augusto Vieira,135.694.702-61,1988-02-07,ymoreira@castro.net,Passarela Santos,419,,Etelvina Carneiro,Azevedo do Norte,AM,16586785
Henrique Barbosa,812.497.653-82,1962-01-25,bnascimento@lopes.br,Residencial de Duarte,924,,Vila Coqueiral,Aragão,RO,31619549
Nina Oliveira,184.657.309-20,1940-12-06,maria-clara01@rezende.com,Quadra Gomes,35,,Barão Homem De Melo 1ª Seção,Freitas,PB,3662666
Marcelo da Rosa,296.573.140-70,1956-12-14,diogosouza@freitas.br,Viela de Peixoto,2,,Grajaú,Silveira da Prata,CE,83686341
Dra. Emanuelly Souza,376.124.895-46,1943-07-15,fariascarlos-eduardo@freitas.com,Colônia da Mata,9,,Vera Cruz,Porto,SP,62325718
Dr. Cauê Araújo,567.032.491-99,1980-08-26,liviaoliveira@barbosa.com,Distrito Lívia Carvalho,19,,Lorena,da Cunha de Nunes,MT,65759191
Ana Sophia Nunes,168.470.539-84,1967-01-22,sabrina87@bol.com.br,Conjunto de das Neves,31,,Vila São Gabriel,Ribeiro,PR,83401-513
Davi Lucca Castro,473.521.809-23,1950-03-11,camilacunha@nascimento.org,Pátio de Caldeira,7,,Bacurau,Sales do Galho,GO,66485-096
Breno Dias,692.704.358-65,1975-04-19,bmendes@sales.net,Vereda Correia,16,,Dom Joaquim,Costela de Gomes,PI,94470237
Natália Cunha,247.350.189-05,1942-06-15,maria-alicedas-neves@costa.com,Chácara de Peixoto,905,,Vila Inestan,Cavalcanti Paulista,AM,23326-244
Danilo Ramos,079.136.528-02,1939-08-04,giovannacosta@yahoo.com.br,Estação Vinicius da Rosa,377,,Santana Do Cafezal,da Luz,TO,87007-675
Isaac Azevedo,184.027.356-90,1973-11-19,barrospietro@novaes.org,Favela Maitê Costela,9,,Cônego Pinheiro 1ª Seção,Barros das Pedras,MS,39606696
Dra. Maria Clara Cavalcanti,473.258.601-53,1949-02-02,barrosjoao-pedro@gmail.com,Viela Jesus,535,,Vila Nova Cachoeirinha 2ª Seção,Rocha de Cardoso,DF,99599512
Miguel Azevedo,789.105.324-32,1967-09-19,mariaduarte@ig.com.br,Estrada Murilo Pinto,84,,Vila Madre Gertrudes 1ª Seção,Pinto,PR,09129-265
Natália Costa,970.583.246-38,1991-06-16,rodriguesana-carolina@uol.com.br,Morro Luana Gonçalves,84,,Santa Rita,Vieira de Moreira,PI,42001921
Beatriz Gonçalves,261.543.098-05,1945-09-04,pedro96@teixeira.com,Esplanada Laura Barbosa,87,,Coqueiros,Porto,MG,5199075
Breno Pires,458.709.312-23,1985-02-02,xcarvalho@ramos.com,Área de Gonçalves,42,,Belvedere,Lopes,AM,60342802
Sabrina Carvalho,736.254.901-61,1934-03-20,wda-conceicao@castro.br,Loteamento Teixeira,63,,Conjunto Celso Machado,Novaes Verde,CE,9852688
Pietra das Neves,182.965.743-73,1990-11-21,luigi79@ig.com.br,Quadra de Barros,8,,Mineirão,Aragão,ES,60986944
Ana Laura Mendes,165.798.032-40,1990-01-04,maria-clararamos@yahoo.com.br,Trecho Murilo Duarte,443,,Concórdia,Teixeira,PE,37817-571
Ana Carolina Nascimento,602.357.849-74,1976-08-29,leticiacaldeira@bol.com.br,Fazenda Laís Lopes,79,,Marajó,Souza,SE,58776714
Larissa da Cruz,075.418.962-76,1972-09-14,julia97@silveira.br,Alameda de Silva,5,,Aeroporto,da Mata,TO,33796741
Mariana da Conceição,271.649.053-80,1963-12-20,spires@da.org,Vila Davi Lucca Farias,5,,Vila Nova,Teixeira de Goiás,PI,27410-912
Isabelly Pereira,057.381.249-79,1975-07-01,davi90@uol.com.br,Conjunto Giovanna Lopes,920,,Petropolis,Monteiro do Oeste,RR,24020493
Sr. Theo Barros,493.610.725-52,2007-08-16,guilherme42@hotmail.com,Travessa de Nunes,37,,Santo Agostinho,da Mota,SE,31851-946
Marcela Nascimento,314.608.972-69,1935-06-06,novaesana-julia@bol.com.br,Núcleo Moura,26,,Conjunto Lagoa,Vieira,RO,94317155
Luana Novaes,046.138.752-26,1964-08-07,moraesjulia@souza.br,Estrada Ribeiro,2,,Alípio De Melo,Moraes,PR,67413434
Srta. Ana Beatriz Nogueira,234.189.567-00,1995-04-06,oliveirajoao@da.com,Residencial da Conceição,10,,Ernesto Nascimento,da Costa,RR,23129865
Dra. Maria Vitória Moraes,208.741.563-35,1980-09-27,nogueirajoao-felipe@martins.net,Feira Ferreira,95,,Nova Cintra,da Conceição,BA,57054-865
Leandro Vieira,301.985.274-97,1968-06-22,da-cunhajuliana@uol.com.br,Área Rafaela da Luz,16,,Estrela,Costela,RR,71703918
Lucas Gabriel Cunha,425.019.876-67,1976-11-06,monteirovicente@bol.com.br,Favela Alice da Mota,52,,Morro Dos Macacos,Aragão,GO,31031-420
Pedro da Mata,843.910.256-98,1933-03-02,olivia46@da.net,Alameda Sophia Fogaça,51,,Vila Tirol,Ferreira da Prata,PR,31579-455
Marcela Pires,583.470.961-39,2009-05-27,daniela65@gmail.com,Praia Paulo Novaes,5,,Monte São José,da Mota,PE,70889142
Rafael Oliveira,457.816.903-01,1954-02-11,maria-vitoria20@bol.com.br,Aeroporto de Dias,62,,Vila Canto Do Sabiá,Dias de Monteiro,PB,45626463
Mariane Martins,675.314.892-28,1942-03-11,osilva@gmail.com,Área Gonçalves,42,,Vila Nova Cachoeirinha 1ª Seção,Freitas de Goiás,PI,38059491
Henrique Ribeiro,925.407.168-49,1950-04-01,aragaoolivia@hotmail.com,Trecho Amanda Nascimento,79,,Guarani,Carvalho das Pedras,RS,88956893
Leonardo Moraes,519.387.042-23,2008-09-02,da-costadaniela@bol.com.br,Parque Bárbara da Rosa,84,,Padre Eustáquio,Fogaça,CE,90596209
João Vitor Cavalcanti,198.542.376-64,2007-05-19,fogacamiguel@ferreira.com,Sítio Lucas Gabriel Barbosa,858,,Buritis,Caldeira da Mata,RS,07066-904
Ana Beatriz Dias,280.471.965-02,1997-05-30,carvalhoana-clara@da.com,Praça Lorena das Neves,84,,Floramar,da Mata,MA,45726790
Mariane Vieira,417.295.083-32,2004-04-27,arthurnascimento@yahoo.com.br,Campo de Jesus,6,,Santa Maria,Caldeira do Galho,DF,85877684
Luna Nogueira,071.634.592-70,1990-07-12,mariana31@almeida.org,Morro Gustavo Henrique Fogaça,2,,Dom Silverio,Dias do Amparo,RS,17006129
Sra. Maria Sophia Campos,251.643.078-71,1995-06-08,ferreiralucas@gmail.com,Sítio de Moura,3,,Ermelinda,Caldeira,RN,26255-372
Caroline Gonçalves,804.962.315-70,1938-06-21,valentinada-conceicao@gmail.com,Esplanada de Moreira,72,,Nova Floresta,Campos,SE,27087939
Sr. Nicolas Sales,714.695.830-20,1978-03-13,nina76@da.br,Parque de da Conceição,801,,Vila Sumaré,Novaes das Pedras,RJ,16438447
Davi Lucca Cardoso,105.483.972-79,1952-09-10,sabrinamendes@ig.com.br,Esplanada Costela,293,,Flamengo,Duarte do Campo,BA,94127954
Dra. Ana Novaes,920.357.618-59,1963-06-18,rochamiguel@uol.com.br,Recanto Teixeira,50,,Coração De Jesus,Nunes da Praia,TO,70572580
Alícia Moura,297.183.506-59,1939-09-02,cavalcantieduarda@yahoo.com.br,Passarela Mendes,12,,Jardim Atlântico,Costela dos Dourados,ES,34709-200
João Miguel da Costa,827.639.051-02,1966-08-31,barbosabianca@uol.com.br,Favela João Guilherme Vieira,56,,Minaslandia,Correia do Sul,DF,13736-790
Sarah Fogaça,912.504.683-70,2001-08-15,luigisilveira@bol.com.br,Fazenda da Cunha,2,,Conjunto Jatoba,Moura de Araújo,RR,57753788
Henrique Martins,594.632.807-74,1952-02-21,vicenteda-rocha@nascimento.com,Quadra de Cavalcanti,86,,Vila Olhos D'água,Lima,PI,57699869
Ian Vieira,842.901.536-15,1983-12-11,joao-guilhermemoreira@jesus.org,Campo Bárbara Moura,2,,Padre Eustáquio,Rezende de Cardoso,ES,70536995
Maria Cecília Carvalho,814.395.672-55,1957-07-06,lda-rosa@ferreira.org,Residencial de Cardoso,878,,São Bento,da Luz do Sul,PE,57918126
João Miguel Correia,134.789.560-48,1943-07-11,matheusaragao@uol.com.br,Rua Luiz Miguel da Cruz,52,,Lindéia,da Paz,SP,73127703
Ana Júlia Martins,203.457.961-52,1974-11-12,da-rochapedro-lucas@yahoo.com.br,Pátio Guilherme da Mata,79,,Diamante,da Conceição de Cunha,PA,40595-301
Manuela Silveira,742.685.301-26,1934-05-07,helena94@alves.org,Área de Farias,21,,Vila De Sá,Peixoto da Praia,RN,57863-471
Ana Luiza Mendes,210.965.783-95,1999-01-22,enzo-gabriel07@uol.com.br,Lagoa Henrique Pires,83,,Nova Floresta,Rodrigues do Amparo,PA,40547-870
Luiz Miguel Ramos,583.921.467-19,1975-12-10,haraujo@ig.com.br,Distrito Porto,79,,Vila Canto Do Sabiá,Ferreira,PB,47453-680
Dra. Kamilly Dias,216.405.897-67,2001-05-19,csilveira@pinto.com,Núcleo Alves,88,,Barreiro,da Mata,PB,62622-085
Raul Lima,147.803.695-84,2000-09-28,elisa11@uol.com.br,Praça de da Rosa,749,,Mantiqueira,Melo da Praia,MT,66571478
Alexia Souza,153.072.489-97,2000-12-18,vitor-gabriel17@cardoso.com,Distrito Danilo Rocha,7,,Baleia,Duarte Paulista,DF,62900701
Paulo Ribeiro,684.530.917-57,1955-11-29,ana-carolinada-cunha@hotmail.com,Fazenda de Azevedo,60,,Alta Tensão 2ª Seção,Nascimento Verde,CE,37198-663
Laura Farias,139.028.754-88,1990-02-18,ufreitas@bol.com.br,Esplanada Luiz Henrique Araújo,61,,Urca,da Mata Alegre,MG,15481579
Luiz Gustavo das Neves,681.540.927-94,1936-12-29,maria-vitoria88@yahoo.com.br,Trevo Santos,9,,Floramar,Moreira,AM,75780017
Agatha Farias,689.423.051-05,1946-03-26,oda-mata@uol.com.br,Condomínio Cardoso,647,,Vila Batik,Moraes,TO,25146392
Isaac Melo,216.789.403-13,1976-05-05,manuelacarvalho@ig.com.br,Feira Raquel Fernandes,25,,Vila Puc,Nascimento de Goiás,PB,63594-405
Heloísa Almeida,937.480.162-04,1964-02-15,pedro-lucasgoncalves@uol.com.br,Via Rodrigues,99,,Vila Bandeirantes,Aragão das Pedras,AL,71426269
Augusto da Paz,248.176.905-85,1982-02-14,matheusrocha@peixoto.org,Colônia de Moura,814,,Parque São Pedro,Dias da Mata,MT,98221-149
Pietra Costa,856.397.041-01,1995-06-21,ana-claraalves@viana.br,Viela Eduarda Cardoso,66,,Atila De Paiva,Viana,AP,12335151
Bianca Santos,016.538.479-48,1962-10-25,davi11@da.br,Lago Ana Júlia Freitas,18,,Carmo,Almeida da Serra,SP,25020737
Arthur da Cruz,817.209.635-68,1961-10-04,yfreitas@pires.com,Condomínio Sarah Rezende,9,,Vila Esplanada,da Rosa,AM,34826985
Renan Novaes,680.719.235-59,1947-09-17,juanda-cruz@fogaca.org,Aeroporto de Freitas,65,,Nova Vista,da Costa do Campo,MS,22329-512
Yago Nascimento,761.405.298-67,1949-08-27,daniloda-conceicao@hotmail.com,Núcleo Danilo Novaes,42,,Nova America,Correia Grande,RJ,54406148
Srta. Eloah da Costa,874.316.902-31,1992-02-19,eda-mota@bol.com.br,Feira Fogaça,69,,Conjunto Jatoba,Araújo,SE,59949601
Caio Correia,837.694.052-00,1939-07-27,fda-costa@uol.com.br,Vale Beatriz Jesus,20,,São Benedito,Silva Grande,AL,62138571
Letícia Caldeira,850.791.324-50,1958-05-20,brenoporto@monteiro.com,Praça de Martins,810,,Leonina,Duarte do Oeste,PE,32446-054
Enzo Gabriel Monteiro,406.812.975-49,2006-02-03,da-rosacaio@costela.br,Residencial Leonardo Costa,52,,Engenho Nogueira,Silva,DF,79844410
Ian Gomes,807.463.521-07,2002-05-29,davi-lucca48@gmail.com,Distrito de Pires,10,,Saudade,Teixeira,PB,67021958
Igor Moraes,826.734.951-00,1943-05-26,ccorreia@ig.com.br,Fazenda Aragão,48,,Milionario,da Mata,RN,67711-342
Antônio da Costa,376.091.285-03,1954-12-27,ana-juliada-costa@ig.com.br,Quadra de Rocha,139,,Vila Esplanada,Gomes do Oeste,PI,84493206
Eloah Peixoto,938.460.527-10,1999-06-20,ibarros@mendes.br,Residencial de Dias,66,,Vila São Dimas,Campos do Amparo,SE,62864285
Murilo das Neves,178.593.264-00,1937-06-30,paulo96@ig.com.br,Pátio Arthur Monteiro,34,,Vila Suzana Primeira Seção,Novaes,SP,68061809
Mirella da Mata,254.091.867-02,1981-05-23,arthur18@hotmail.com,Aeroporto Isabelly Pires,65,,Piraja,Nogueira,PR,1947593
Maria Luiza das Neves,563.092.871-68,1954-06-22,piresdanilo@yahoo.com.br,Chácara Jesus,5,,Estrela Do Oriente,Campos Verde,AP,87735-460
Heitor Lopes,973.214.508-05,1990-08-26,prodrigues@uol.com.br,Loteamento Nicolas Lopes,36,,Minaslandia,Rocha de Monteiro,RS,29570932
Yago Carvalho,850.213.649-60,1982-04-08,ana-carolinaaraujo@hotmail.com,Quadra de Barros,143,,Heliopolis,Cardoso de Minas,RS,76878-925
Levi Sales,825.419.037-23,2009-11-15,vieiraana-clara@araujo.net,Morro Ramos,35,,Vila Calafate,Jesus,MA,32575893
Maria Vitória Correia,617.248.309-96,1969-06-16,larapires@gmail.com,Ladeira Farias,5,,Nossa Senhora Do Rosário,Duarte,AP,37626158
Dr. Lucas Gabriel Dias,813.426.957-55,1988-01-04,pintoana-laura@bol.com.br,Loteamento Clara da Mata,74,,Mirante,Duarte da Prata,CE,27999168
Mariana Pereira,436.057.829-65,1976-06-25,lcarvalho@costa.com,Setor Bryan Pereira,4,,Santa Lúcia,Ribeiro,ES,03824-347
Dr. Bruno Ribeiro,692.807.143-50,2001-08-02,ramosalice@aragao.com,Colônia de Porto,94,,São Pedro,Cunha,MS,71492942
Isabella Rezende,401.729.853-23,1990-07-21,vieiraisabelly@da.br,Chácara de da Luz,74,,Santo Antônio,Freitas,RJ,67178447
Maria Clara Moraes,127.864.053-35,1945-05-21,fariasrebeca@pinto.org,Conjunto Santos,44,,Havaí,Pires,DF,57560064
Cecília Costa,841.639.257-91,1966-08-28,da-conceicaomaria-sophia@ig.com.br,Vereda Azevedo,52,,Mariquinhas,Gonçalves de Minas,RN,45249-582
